905, 451, 210
129, 199, 32
501, 323, 77
261, 493, 35
435, 208, 206
571, 448, 1
628, 274, 72
761, 30, 141
294, 557, 17
96, 333, 89
942, 576, 63
845, 150, 162
483, 594, 35
246, 254, 214
734, 189, 245
660, 482, 120
446, 291, 4
550, 220, 180
454, 537, 78
880, 390, 132
818, 456, 219
409, 168, 222
399, 321, 51
160, 337, 101
13, 131, 8
974, 240, 163
609, 373, 131
623, 422, 149
164, 464, 220
492, 356, 131
870, 322, 168
573, 113, 129
758, 254, 178
349, 153, 69
434, 444, 253
104, 262, 202
974, 371, 9
360, 264, 250
723, 91, 25
200, 398, 22
46, 197, 54
651, 428, 128
878, 370, 57
498, 330, 67
935, 475, 197
850, 158, 246
374, 450, 151
695, 574, 7
809, 195, 148
222, 38, 45
740, 51, 6
518, 422, 246
627, 117, 64
598, 572, 237
607, 159, 167
470, 516, 129
769, 306, 173
66, 151, 253
879, 581, 147
665, 476, 73
623, 204, 162
681, 87, 4
543, 565, 130
722, 331, 57
90, 376, 66
19, 134, 152
777, 430, 49
16, 71, 152
596, 236, 103
386, 3, 115
515, 439, 221
842, 370, 122
137, 596, 246
422, 556, 48
108, 93, 32
385, 387, 173
961, 107, 157
337, 331, 213
559, 329, 131
28, 286, 37
641, 83, 5
604, 65, 18
19, 41, 89
43, 491, 6
914, 502, 232
295, 375, 245
721, 256, 105
381, 438, 13
369, 214, 76
361, 30, 54
936, 65, 56
276, 315, 130
226, 426, 63
294, 451, 104
829, 180, 127
720, 432, 147
400, 406, 193
611, 293, 127
748, 65, 62
195, 142, 71
354, 194, 245
63, 241, 98
828, 559, 82
648, 208, 36
781, 3, 238
969, 38, 10
631, 554, 248
212, 467, 199
730, 80, 195
316, 179, 238
16, 201, 53
183, 155, 14
317, 235, 177
618, 299, 233
17, 94, 16
927, 71, 196
741, 303, 121
198, 109, 8
772, 371, 227
80, 138, 250
558, 440, 101
176, 596, 183
966, 192, 192
750, 260, 214
409, 111, 92
548, 552, 165
151, 475, 209
418, 548, 165
842, 208, 255
838, 419, 246
475, 584, 179
890, 344, 69
571, 68, 14
976, 283, 36
637, 275, 118
937, 304, 77
472, 72, 62
390, 387, 164
708, 256, 229
502, 394, 84
78, 414, 245
998, 273, 225
298, 251, 238
342, 359, 3
563, 366, 233
835, 418, 9
796, 325, 139
623, 123, 214
373, 104, 55
773, 376, 96
744, 99, 89
247, 589, 79
997, 466, 18
470, 588, 224
341, 587, 93
333, 412, 75
80, 74, 7
981, 410, 2
524, 570, 130
858, 553, 225
782, 491, 242
566, 522, 254
312, 360, 162
365, 303, 73
66, 306, 192
288, 88, 131
507, 224, 3
976, 293, 135
656, 399, 171
804, 197, 209
814, 365, 30
96, 594, 60
52, 444, 229
983, 276, 94
492, 275, 208
736, 350, 70
982, 590, 197
345, 343, 75
